Method,Training Accuracy,Testing Accuracy
Linear Regression,69.87306719694332,68.68428933990816
Decision Tree Regression,84.7030169788218,73.32801177735423
Random Forest Regression,88.86781097302224,80.65655046929994
MLP Regression,74.25204669238106,74.77520550568886
Gradient Boosting Regression,85.8512952258481,80.83391330291035
K-Neighbors Regression,80.33743751119569,76.20997254451854
